PONOT2016121381290UKKOLA                        UKKOLA                                                198601011FI133Pohjois-Karjala               Norra Karelen                 167Joensuu             Joensuu             1
PONOT2016121385540NIVALA                        NIVALA                                                200111051FI1A2Pohjois-Pohjanmaa             Norra Österbotten             535Nivala              Nivala              1
PONOT2016121300033MTV                           MTV                                                   201311053FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016121300800HELSINKI                      HELSINGFORS                   HKI         HFORS       199706011FI181Uusimaa                       Nyland                        091Helsinki            Helsingfors         2
PONOT2016121302380ESPOO                         ESBO                                                  198601011FI181Uusimaa                       Nyland                        049Espoo               Esbo                2
PONOT2016121307230MONNINKYLÄ                    MONNINKYLÄ                                            199611131FI181Uusimaa                       Nyland                        018Askola              Askola              1
PONOT2016121321720KORPOSTRÖM                    KORPOSTRÖM                                            198610011FI183Varsinais-Suomi               Egentliga Finland             445Parainen            Pargas              2
PONOT2016121322150JOMALA                        JOMALA                                                198609261FI200Ahvenanmaa                    Åland                         170Jomala              Jomala              4
PONOT2016121327130EURAJOKI                      EURAJOKI                                              198601011FI191Satakunta                     Satakunda                     051Eurajoki            Euraåminne          1
PONOT2016121331460HIRSJÄRVI                     HIRSJÄRVI                                             198601011FI183Varsinais-Suomi               Egentliga Finland             761Somero              Somero              1
PONOT2016121334640MUSTAJÄRVI                    MUSTAJÄRVI                                            198601011FI192Pirkanmaa                     Birkaland                     702Ruovesi             Ruovesi             1
PONOT2016121373350HALUNA                        HALUNA                                                198901011FI132Pohjois-Savo                  Norra Savolax                 297Kuopio              Kuopio              1
PONOT2016121392260KOPSA                         KOPSA                                                 198601011FI1A2Pohjois-Pohjanmaa             Norra Österbotten             678Raahe               Brahestad           1
PONOT2016121392810PELSONSUO                     PELSONSUO                                             199612121FI134Kainuu                        Kajanaland                    785Vaala               Vaala               1
PONOT2016121395920SAARIPUDAS                    SAARIPUDAS                                            198601011FI1A3Lappi                         Lappland                      273Kolari              Kolari              1
